Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
18101293082,"Apr 14, 2026, 8:06:11 AM",Morning Run,Run,"77 Training Load
-- from COROS",1402,4.63,178.0,43,,,,activities/19203110764.fit.gz,,,1402.0,1402.0,4632.0,4.2,3.304,0.0,1.0,475.0,476.0,6.9,0.0,,,85.0,81.0,178.0,165.0,,243.0,356.0,,,43.0,,,,,,,,,246.0,1403.0,,,0.0,,1.0,4634.5,,,,,,,,,,,,,,,,,,,,,,,,,,,3.304,0.0,,,,3816.0,0.0,,133.0,185.0,3.306,,,,,,,,,,,,""
18101070153,"Apr 14, 2026, 7:52:02 AM",Morning Run,Run,"29 Training Load
-- from COROS",752,1.56,178.0,9,,,,activities/19202884442.fit.gz,,,752.0,536.0,1561.7,6.1,2.914,0.0,2.0,425.0,426.0,8.3,-0.1,,,94.0,79.0,178.0,152.0,,214.0,121.0,,,9.0,,,,,,,,,189.0,734.0,,,0.0,,1.0,1567.8,,,,,,,,,,,,,,,,,,,,,,,,,,,2.077,0.0,,,,1418.0,0.0,,41.0,142.0,2.925,,,,,,,,,,,,""
18094471176,"Apr 13, 2026, 5:26:46 PM",Evening Run,Run,"63 Training Load
-- from COROS",1981,4.86,166.0,36,,,,activities/19196254922.fit.gz,,,1981.0,1837.0,4866.6,3.0,2.649,0.0,0.0,0.0,0.0,0.0,0.0,,,84.0,79.0,166.0,152.0,,,326.0,,,36.0,,,,,,,,,,,,,0.0,,1.0,4866.6,,,,,,,,,,,,,,,,,,,,,,,,,,,2.457,0.0,,,,4956.0,0.0,,,,,,,0.0,0.0,,,,0.0,,,,""
18082326936,"Apr 12, 2026, 3:49:44 PM",Afternoon Run,Run,"Cooldown

27 Training Load
-- from COROS",987,2.43,154.0,10,,,,activities/19183975344.fit.gz,,,987.0,977.0,2433.0,3.4,2.49,26.0,5.0,433.0,457.0,21.1,0.9,,,81.0,76.0,154.0,147.0,,192.0,210.0,,,10.0,,,,,,,,,190.0,988.0,,,0.0,,1.0,2562.3,,,,,,,,,,,,,,,,,,,,,,,,,,,2.465,1007.0,,,,2520.0,0.0,,56.0,143.0,2.623,,,0.0,0.0,,,,0.0,,,,""
18082327331,"Apr 12, 2026, 2:08:20 PM",Afternoon Run,Run,"5km Warm-up + 13km Halbmarathon Pace 
mit Begleitungsfahrrad 😀

335 Training Load
-- from COROS",5770,18.01,184.0,213,,,,activities/19183975537.fit.gz,,,5770.0,5389.0,18013.0,8.6,3.343,31.0,52.0,421.0,459.0,10.5,-0.1,,,86.0,81.0,184.0,171.0,,246.0,1458.0,,,213.0,,,,,,,,,245.0,5683.0,,,0.0,,1.0,18125.4,,,,,,,,,,,,,,,,,,,,,,,,,,,3.122,2981.5,,,,14692.0,0.0,,535.0,184.0,3.363,,,0.0,0.0,,,,0.0,,,,media/62F95398-131F-4CC2-BCD1-7A73DBB08A2F.mp4|media/29F87C93-1B93-472F-AE40-80D9631586AF.jpg
18038490776,"Apr 9, 2026, 6:34:31 AM",Morning Trail Run,Run,"252 Training Load
-- from COROS",12514,14.36,174.0,72,,,,activities/19139699215.fit.gz,,,12514.0,11029.0,14368.0,3.6,1.303,879.0,888.0,20.0,702.0,47.6,0.0,,,127.0,70.0,174.0,138.0,,140.0,1628.0,,,72.0,,,,,,,,,149.0,12403.0,,,0.0,,1.0,20121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.148,8094.0,,,,20532.0,0.0,,432.0,112.0,1.824,,,0.0,0.0,,,,0.0,,,,media/15C4ACC7-1EF0-4F19-A14E-C51CCD7BE3C6.jpg|media/DCE5B16C-9BDA-405A-8FCF-63E6ED96EEDB.mp4
18023364355,"Apr 8, 2026, 6:34:08 AM",Morning Run,Run,"Calvi erkunden

50 Training Load
-- from COROS",2387,5.03,183.0,16,,,,activities/19124362813.fit.gz,,,2387.0,2053.0,5038.0,6.8,2.454,62.0,65.0,-1.0,60.0,30.0,0.0,,,106.0,78.0,183.0,143.0,,185.0,416.0,,,16.0,,,,,,,,,182.0,2389.0,,,0.0,,1.0,5276.7,,,,,,,,,,,,,,,,,,,,,,,,,,,2.111,15.0,,,,5310.0,0.0,,124.0,137.0,2.57,,,0.0,0.0,,,,0.0,,,,media/02BCBC85-31C9-49F4-AA8C-4793C263DF65.mp4
18009358860,"Apr 7, 2026, 7:32:38 AM",Morning Run,Run,"2 Training Load
-- from COROS",88,0.21,161.0,1,,,,activities/19110113290.fit.gz,,,88.0,82.0,212.0,3.2,2.585,0.0,2.0,47.0,49.0,0.0,-0.9,,,79.0,78.0,161.0,151.0,,186.0,18.0,,,1.0,,,,,,,,,146.0,89.0,,,0.0,,1.0,209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.409,0.0,,,,226.0,0.0,,2.0,110.0,2.549,,,,,,,,,,,,""
18009358957,"Apr 7, 2026, 6:30:25 AM",Morning Run,Run,"Track Tuesday

227 Training Load
-- from COROS",3634,12.01,184.0,143,,,,activities/19110113345.fit.gz,,,3634.0,3634.0,12013.0,4.4,3.306,0.0,1.0,50.0,52.0,7.1,0.0,,,84.0,81.0,184.0,172.0,,241.0,991.0,,,143.0,,,,,,,,,244.0,3635.0,,,0.0,,1.0,12017.7,,,,,,,,,,,,,,,,,,,,,,,,,,,3.306,0.0,,,,9840.0,0.0,,338.0,183.0,3.307,,,0.0,0.0,,,,0.0,,,,media/F26CF959-C614-489A-9BDB-0B47BC4C3119.mp4
18009358861,"Apr 7, 2026, 6:27:04 AM",Morning Run,Run,"10 Training Load
-- from COROS",158,0.35,169.0,1,,,,activities/19110113276.fit.gz,,,158.0,137.0,354.5,5.9,2.588,0.0,1.0,51.0,52.0,0.0,-0.3,,,93.0,76.0,169.0,148.0,,209.0,32.0,,,1.0,,,,,,,,,194.0,159.0,,,0.0,,1.0,354.7,,,,,,,,,,,,,,,,,,,,,,,,,,,2.244,0.0,,,,298.0,0.0,,9.0,146.0,2.589,,,,,,,,,,,,""
